# file...... output/s_in.csv
# date...... Fri Apr 22 11:04:33 2022
# user...... nathangray
# host...... (null)
# target.... meter 418
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:02:40 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:41 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:42 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:43 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:44 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:45 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:46 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:47 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:48 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:49 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:50 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:51 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:52 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:53 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:54 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:55 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:56 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:57 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:58 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:59 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:03:00 PDT,+2628796.82268,+2177999.21688,+1096897.72466,+829181.072158,+687962.967543,+651347.400958,+843936.130476,+697470.743764
2001-08-01 12:03:01 PDT,+2628796.88726,+2177999.52341,+1096897.96536,+829181.928686,+687962.909518,+651346.894017,+843936.012379,+697470.700705
2001-08-01 12:03:02 PDT,+2628796.8647,+2177999.41652,+1096897.8791,+829181.623762,+687962.931088,+651347.077824,+843936.054521,+697470.714938
2001-08-01 12:03:03 PDT,+2628796.87269,+2177999.4543,+1096897.91001,+829181.732421,+687962.92314,+651347.011463,+843936.039544,+697470.710417
2001-08-01 12:03:04 PDT,+2628796.86985,+2177999.44087,+1096897.89894,+829181.693695,+687962.926053,+651347.035361,+843936.044856,+697470.711813
2001-08-01 12:03:05 PDT,+2628796.87086,+2177999.44566,+1096897.9029,+829181.707494,+687962.924989,+651347.026769,+843936.042974,+697470.711393
2001-08-01 12:03:06 PDT,+2628796.8705,+2177999.44395,+1096897.90148,+829181.702579,+687962.925377,+651347.029854,+843936.04364,+697470.711515
2001-08-01 12:03:07 PDT,+2628796.87063,+2177999.44456,+1096897.90199,+829181.704329,+687962.925236,+651347.028748,+843936.043404,+697470.711481
2001-08-01 12:03:08 PDT,+2628796.87058,+2177999.44434,+1096897.90181,+829181.703706,+687962.925287,+651347.029144,+843936.043488,+697470.71149
2001-08-01 12:03:09 PDT,+2628796.8706,+2177999.44442,+1096897.90187,+829181.703928,+687962.925269,+651347.029002,+843936.043458,+697470.711488
2001-08-01 12:03:10 PDT,+2628796.87059,+2177999.44439,+1096897.90185,+829181.703849,+687962.925275,+651347.029053,+843936.043469,+697470.711488
2001-08-01 12:03:11 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703877,+687962.925273,+651347.029035,+843936.043465,+697470.711488
2001-08-01 12:03:12 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703867,+687962.925274,+651347.029041,+843936.043466,+697470.711488
2001-08-01 12:03:13 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.70387,+687962.925273,+651347.029039,+843936.043466,+697470.711488
2001-08-01 12:03:14 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:15 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.70387,+687962.925273,+651347.029039,+843936.043466,+697470.711488
2001-08-01 12:03:16 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
